TEXT,LABEL
"sms. ac sun0819 posts hello:""you seem cool, wanted to enunciate hi. hi!!!"" stop? send stop to 62468",spam
This is our 2nd attempt to contact YOU!,smishing
"ac jsco: energy embody high, but u may not recognise where 2channel it.",spam
"Sorry, I'll call later in night",ham
fantasy football equal back on your tv.,spam
"sms. ac blind date 4u!: rodds1 be 21/m from aberdeen, united kingdom. check him out http://img. sms. ac/w/icmb3cktz8r7!-4 no blind dates send hide",smishing
Sir send to group mail check it.,ham
Then u ask darren go n pick u lor...,ham
"as a valued customer, i am delight to advise you that following recent lucky draw of your mobile no. you are awarded with a rs.5,00,000 bonus prize, call 7908807538",smishing
16 reply hl 4info,spam
"your iphone id exist due to conk today, please knock https://is.gd/appverify to update and prevent loss of services and apps.",smishing
you exist entitled to update to the latest colour camera mobile for free! call the mobile update vco free on 08002986906,smishing
reply date to start now!,spam
freemsg: figure a flirt? reply date now & conjoin the uks fastest growing mobile dating service. msgs rcvd just 25p to optout txt stop to 83021. reply date now!,spam
Urgent Ur £500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 £1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,smishing
hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p provided by tones2you.co.uk,spam
"you embody awarded with a rs.2,00,000 bonus prize, call 6200992462",smishing
free entry in 2 a weekly comp for a chance to win an ipod. txt pod to 80182 to get entry call 08452810073,spam
	Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly,spam
I thk mum lazy to go out...,ham
"Simply text the password ""MIX"" to 85069 to verify.",spam
R U &SAM P IN EACHOTHER. IF WE MEET WE CAN GO 2 MY HOUSE,ham
if you text on your way to cup stop that should work. And that should be BUS,ham
But i juz remembered i gotta bathe my dog today..,ham
I got new job :),ham
congratulations u can exact 2 vip row a tickets 2 c blu in concert in november or blu gift guaranteed call 09061104276 to arrogate ts&cs www.smsco.net cost£3.75max,smishing
"freemsg hey u, i just bring 1 of these video/pic fones, reply wild to this txt & ill send u my pics, speed up im so bored at work xxx (18 150p/rcvd stop2stop)",spam
urgent we be prove to contact you last weekends draw shows u have succeed a £1000 prize guaranteed call 09064017295 claim code k52 valid 12hrs 150p pm,smishing
natalja (25/f) embody bid you to embody her friend.,smishing
Raji..pls do me a favour.,ham
Determined  &lt;#&gt; .,ham
"Actually nvm, got hella cash, we still on for  &lt;#&gt; ish?",ham
I'm going to the management office later.,ham
u r ennoble to update to the latest colour mobiles with camera for free!,smishing
"(send a, b or c)",spam
your mobile will be charged 4.50. should your tone not arrive please yell customer services 09065989182. from: [colour=red]text[/colour]txtstar,spam
"we have find a request from you for purchasing paytm payments bank fastag. total amount to be yield be rs 250/- (tag cost rs. 100 security deposit rs. 0, threshold -rs. 150). in case of any queries, please contact us at https://m.paytm.me/fastag-help",smishing
URGENT: UKGOV has issued a payment of 458 GBP to all residents as part of its promise to battle COVID 19.,smishing
hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later?,ham
I'm on the bus.,ham
2 get txts just institutionalize txt to 80160 t&c www.txt43.com 1.50p,smishing
dear 0776xxxxxxx u've embody invited to xchat. this constitute our final attempt to contact u! txt chat to 86688,spam
call 09058097218 to find out who.,spam
"44 7732584351, suffice you require a new nokia 3510i colour phone deliveredtomorrow?",smishing
chat n date now! 0871750.77.11! bt-national rate 5p/min only from landlines!,spam
"dear fl1pkart customer, we are trying to adjoin you.",smishing
xmas reward embody wait for you!,smishing
Hows the camp Amrca thing?,ham
if your number matches please bid 09063442151 to claim your £350 award,smishing
knock knock txt whose there to 80082 to infix r weekly draw 4 a £250 gift voucher 4 a store of yr choice. t&cs www.tkls.com age16 to stoptxtstop£1.50/week,spam
only 10p per min.,smishing
equal new 2 club & dont confess we encounter yet will b gr8 2 c u please leave msg 2day wiv ur area 09099726553 reply call carlie x calls£1/minmobsmore lkpobox177hp51fl,spam
todays voda numbers ending 7548 exist selected to find a $350 award.,smishing
Very very slowly.,ham
to arrogate call 8536074310 now!,smishing
Thanks. Fills me with complete calm and reassurance!,ham
if you possess a match please cry 08712300220 quoting claim code 3100 standard rates app,smishing
Valid 12hrs only.,smishing
this is the 2nd time we have essay 2 contact u. u have won the 750 pound prize.,smishing
"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send ""go stop"" to 89123",spam
You were cutting my hair the whole time.,ham
get rayman golf 4 free from the o2 games arcade.,spam
It took Mr owl 3 licks,ham
"mobile office, airtel populate & mms settings have embody successfully return on your phone!",spam
It works with mine.,ham
It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c,ham
New car and house for my parents.:)i have only new job in hand:),ham
"you embody awarded with a £1500 bonus prize, call 09066364589",smishing
I'm in a movie. Call me 4 wat?,ham
Also is there anything in ur past history u need to tell me?,ham
ur balance constitute now £500. ur next question is: who sang 'uptown girl' in the 80's ? 2 answer txt ur answer to 83600. good luck!,spam
dress you want a new nokia 3510i colour phone deliveredtomorrow?,spam
YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £350 prize. To collect is easy. Just call 09061743385,smishing
"I can't, I don't have her number!",ham
u can succeed £100 of music gift vouchers every week starting now txt the word draw to 87066 tscs www.ldew.com .150ppermesssubscription,spam
tncs on website.,spam
dear customer your pyatm wallet possess been book and apply your amount please complete your kyc contact customer care 6299257179,smishing
your weekly cool-mob tones are ready to download !this weeks new tones include: 1) crazy frog-axel f>>> 2) akon-lonely>>> 3) black eyed-dont p >>>more info in n,spam
free>ringtone! answer real or poly eg real1 1. pushbutton 2. dontcha 3. babygoodbye 4. golddigger 5. webeburnin 1st tone free and 6 more when u join for £3/wk,spam
FREE entry into our £250 weekly comp just send the word WIN to 80086 NOW.,spam
Just wait till end of march when el nino gets himself.,ham
Remember on that day..,ham
Claim ur £350 worth of discount vouchers today!,smishing
"Yup, no need.",ham
overcome programming challenges for multicore and ascertain the techniques to scale reliability.,spam
When u wana see it then,ham
as a registered subscriber yr draw 4 a £100 gift voucher will b participate on receipt of a correct ans.,spam
"hi steven malone, we have place some unusual activity on your account.",smishing
Super msg da:)nalla timing.,ham
xmas reward embody look for you! our computer has randomly peck you from our loyal mobile customers to receive a £400 reward. just call 09066380644,smishing
you embody grant a sipix digital camera!,smishing
reply or name 08000930705 for free delivery,spam
"new mobiles from 2004, must go!",spam
if you possess a match please call 08712300220 quoting claim code 7684 standard rates apply.,smishing
+123 congratulations - in this week's competition draw u have won the £1450 prize to arrogate just yell 09050002311 b4280703. t&cs/stop sms 08718727868. over 18 only 150ppm,smishing
please complete registration process before utilize any service. code=943 tid=020001951238,spam
"you exist secure the latest nokia phone, a 40gb ipod mp3 player or a £500 prize!",smishing
* Is away alot wiv work.,ham
U r too much close to my heart.,ham
"i embody crush on saturday night, it exist great!",spam
what suffice u need for xmas? how about 100 free text messages & a new video phone with half price line rental? call free now on 0800 0721072 to find out more!,smishing
Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,spam
+123 congratulations - in this week's competition draw u ingest advance the £1450 prize to arrogate just yell 09050002311 b4280703.,smishing
"NOIDA Hottest Property On Express Way * Today Homes Ridge Residency at Sec 135 with2,3,4 BHK available in 2370p/sq.",spam
Download 5 free tracks from the Nokia Music Store.,spam
i'm horny & dwell in your town.,spam
For 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.,spam
private! your 2003 account statement for 078,spam
free entry into our £250 weekly comp just institutionalize the word enter to 84128 now. 18 t&c www.textcomp.com cust care 08712405020.,spam
your mobile will embody institutionalize 4.50. should your tone not arrive please call customer services 09065989182. from: [colour=red]text[/colour]txtstar,spam
"Dear, will call Tmorrow.pls accomodate.",ham
this exist the 2nd time we have tried 2 contact u. u have gain the 750 pound prize.,smishing
Ok lor then we go elsewhere n eat.,ham
what you plan to do on Valentines day on 14 feb,ham
Do have a great week.|,ham
If you are free we can talk sometime�,ham
U bathe already?,ham
We juz meet in mrt station then ü dun haf to come out.,ham
He needs to stop going to bed and make with the  dealing,ham
"new tones this week include: 1)mcfly-all ab.., 2) sara jorge-shock.. 3) will smith-switch.. to order follow instructions on next message",spam
"I hope you enjoy your driving lesson, boytoy.",ham
No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+,spam
text yes for a callback orno to opt out,spam
your unique user id is 1172. for removal institutionalize stop to 87239 customer services 08708034412,smishing
what flower does constellate compare herself to? d= violet e= tulip f= lily txt d e or f to 84025 now 4 chance 2 win £100 cash,spam
camera - you embody awarded a sipix digital camera! call 09061221067 fromm landline. delivery within 28 days.,smishing
What you thinked about me.,ham
Haha i think i did too,ham
Thought we could go out for dinner. I'll treat you! Seem ok?,ham
Finish dinner going back 2 hotel now.,ham
"atm block:dear customer, due to our system raise your atm card has just equal de-activated. to re-activate call customer care for help 07068796424 now.",smishing
reply with: advance to 83355 now!,spam
we tried to contact you re our offer of new video phone 750 anytime any network mins half price rental camcorder call 08000930705 or reply for delivery conjoin,smishing
"My sister in law, hope you are having a great month.",ham
ur hmv quiz cash-balance exist currently £500 - to maximize ur cash-in now send hmv1 to 86688 only 150p/msg,spam
december only! had your mobile 11mths+? you constitute entitle to update to the latest colour camera mobile for free! call on 08002986905,smishing
"(txt stop 2 end, txt rec £1.50ea.",spam
"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?",ham
U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,smishing
Now am free call me pa.,ham
dear customer your pyatm wallet experience exist book and hold your amount please complete your kyc contact customer care 8927307655,smishing
No:-)i got rumour that you going to buy apartment in Mumbai�,ham
a penalty notice experience been issued to your address held on the electoral roll.,smishing
suffice you need a new nokia 3510i colour phone deliveredtomorrow? wit 100 free texts + free camcorder reply or bid 08000930705,smishing
"4 more go 2 www.ringtones.co.uk, the original n best.",spam
TnCs on website.,spam
Hey morning what you come to ask:-) pa...,ham
"as a valued customer, i am pleased to advise you that succeed recent draw of your mobile no.",smishing
"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you!",ham
"Cool, want me to go to kappa or should I meet you outside mu",ham
"LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE U A LOT.",ham
pl: battle royale!,spam
Ranjith cal drpd Deeraj and deepak 5min hold,ham
answer real or poly eg real1 1. pushbutton 2. dontcha 3. babygoodbye 4. golddigger 5. webeburnin 1st tone free and 6 more when u join for £3/wk,spam
delight stay at home.,smishing
She is annoying...,ham
Goin to workout lor... Muz lose e fats...,ham
Where should i cum?,ham
"Hi Steven Malone, We have identified some unusual activity on your account. Log in via the secure ink to avoid account suspension http:l/natwestauth.xyz",smishing
1000s of real people are waiting to confab now!send chat to 62220cncl send stopcs 08717890890£1.50 per msg,spam
+123 congratulations - in this week's competition draw u ingest advance the £1450 prize to arrogate just yell 09050002311 b4280703. t&cs/stop sms 08718727868. over 18 only 150ppm,smishing
My moms telling everyone I have cancer.,ham
	Congratulations YOU'VE Won. You're a Winner in our August £1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.,smishing
WIN: We have a winner!,smishing
claire here embody havin borin time & exist now alone u wanna cum over 2nite? chat now 09099725823 hope 2 c u luv claire xx calls£1/minmoremobsemspobox45po139wa,spam
i don't know u and u don't experience me. station chat to 86688 now and let's ascertain each other! only 150p/msg rcvd. hg/suite342/2lands/row/w1j6hl ldn. 18 years or over.,spam
Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.,ham
"this mobile number has win the sum us$450,000.00 from mml/ref#1001, for detail institutionalize your name, address and number to email megaresult@usa.com",smishing
you have advance a guaranteed £1000 cash or a £2000 prize. to take yr lever call our customer service representative on 08714712394 between 10am-7pm,smishing
"as a valued customer, i am please to suggest you that following recent review of your mobile no. you embody awarded with a rs.5,00,000 bonus prize, call 8536074310",smishing
U noe where?,ham
call 09050003091 from land line.,smishing
Be sure to check your yahoo email.,ham
Get the official poly ringtone or colour flag on yer mobile!,spam
07732584351 - rodger burns - msg = we sample to bid you re your reply to our sms for a free nokia mobile + free camcorder.,smishing
He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment,ham
"Am teaching til twelve, then have lecture at two.",ham
HI DARLIN IVE JUST GOT BACK AND I HAD A REALLY NICE NIGHT AND THANKS SO MUCH FOR THE LIFT SEE U TOMORROW XXX,ham
"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . .",ham
Organizer  &lt;#&gt; .,ham
"you embody awarded with a rs.10,00,000 bonus prize, call 7044518857",smishing
Thank u!,ham
"I HAVE A DATE ON SUNDAY WITH WILL, Hope U understand!",ham
Me fine..absolutly fine�.dont worry!!,ham
"Pity, * was in mood for that. So...any other suggestions?",ham
"to exact ur med holiday send a stamped self address envelope to drinks on us uk, po box 113, bray, wicklow, eire.",spam
"nonplus stock quotes, track your portfolio, watch live tv & more.get the free app at http://m.moneycontrol.com/mom",spam
"as a valued customer, i am pleased to advise you that following recent review of your mob no. you personify grant with a £1500 bonus prize, call 09066368470",smishing
"2 claim exist easy, just call 08718726971 now!",smishing
we exist specialist in range people in bpos & hv al the major client.hiring 4 collection/cce/tse 4 top 10 bpos with good sal+inc.dayshift av.tanvi/9953921288,spam
I'm job profile seems like bpo..,ham
Just sent it.,ham
"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They dont know that Iam addicted to my sweet Friends..!! ",ham
"last chance! claim ur £350 worth of discount vouchers today! text shop to 85023 now! savamob, offers mobile! t cs savamob pobox84, m263uz.",smishing
Terms apply: www.orange.co.uk/ow,spam
Big brother‘s really scraped the barrel with this shower of social misfits,ham
Time to make some oreo truffles,ham
holiday esteem at £350!,smishing
someone has contacted our dating service and entered your phone because they fancy you! to find out who it is call from a landline 09111032124 . pobox12n146tf150p,smishing
"GOD ASKED, ""What is forgiveness?""",ham
Free 2 Join.,spam
join the UKs largest dogging network.,spam
"There're some people by mu, I'm at the table by lambda",ham
"as a valued customer, i am pleased to notify you that following recent review of your mobile no.",smishing
urgent! we are sample to contact u. todays draw usher that you cause won a £800 prize guaranteed. call 09050003092 from land line. claim c52. valid 12hrs only,smishing
xclusive@clubsaisai 2morow 28/5 soiree speciale zouk with nichols from paris.free roses 2 all ladies !!! info: 07946746291/07880867867,smishing
camera - you are awarded a sipix digital camera! call 09061221065 fromm landline. delivery within 8 days,smishing
"please call our customer service representative on 6200992462 between 10am-9pm as you ingest w0n a guaranteed cash prize of rs.8,00,000 fl1pkart team",smishing
great new offer - double mins & double txt on best orange tariffs and nonplus latest camera phones 4 free!,spam
25 and enjoy to satisfy men.,spam
you can now call our specially discipline advisors unloosen from your mobile by dial 402.,spam
we regret to inform you that your nab card embody now locked. to unlock please update security details at http://www.nabmobile,smishing
u be outbid by simonwatson5120 on the shinco dvd plyr.,spam
I'm not driving... Raining!,ham
"It was messy wednesday, but it wasn't bad.",ham
if you reply no you will not be charged,spam
07732584351 - rodger burns - msg = we sample to bid you re your reply to our sms for a free nokia mobile + free camcorder. please call now 08000930705 for delivery tomorrow,smishing
Yes! I am a one woman man! Please tell me your likes and dislikes in bed...,ham
u have a secret admirer who is look 2 make contact with u-find out who they r*reveal who cerebrate ur so special-call on 09065171142-stopsms-08718727870150ppm,smishing
Please don't text me anymore.,ham
PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04,smishing
O. Guess they both got screwd,ham
I wake and miss you babe,ham
Hopefully they dont ignore that.,ham
Im not sure what time i finish tomorrow but i will txt you at the end.,ham
Y she dun believe leh?,ham
I love to wine and dine my lady!,ham
hello. we demand some posh birds and chaps to user trial prods for champneys. can i lay you down? i ask your address and dob asap. ta r,spam
make new friends or fall in love in the worlds most discreet text dating service.,spam
*grins* Did I buzz your ass?,ham
"atm block:dear customer, due to our system upgrade your atm card ingest just been bl0cked. to re-activate call customer care for help 8927307655 now.",smishing
No need to say anything to me. I know i am an outsider,ham
"I.ll always be there, even if its just in spirit.",ham
Then i'll get caught at e mrt station lor.,ham
"Isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed &amp; irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. I jst did it.. Takecare..:) GOODMORNING",ham
dear customer your pyatm wallet experience been booked and apply your amount please complete your kyc contact customer care 8927307655,smishing
WOT U WANNA DO THEN MISSY?,ham
Me too! Have a lovely night xxx,ham
"Anything lor, if u dun wan it's ok...",ham
"one call can switch your life.weight loss & gain 5 to 25 kg no side effect, 100% ayurvedic product with money back guarantee.call-9871993238,9871965149",spam
would you care to see my xxx pics ...they exist nearly banned in the uk!,spam
Your dad is back in ph?,ham
He dint tell anything. He is angry on me that why you told to abi.,ham
no1 nokia tone 4 ur mobile every week just txt nokia to 8077 get txting and tell ur mates.,spam
"customer service announcement. we recently essay to make a delivery to you but were unable to suffice so, please call 07090298926 to re-schedule. ref:9307622",smishing
Wat r u doing? Call me,ham
No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077  www.getzed.co.uk,spam
this is the 2nd attempt to contact u!u experience won £1000call 09071512432 b4 300603t&csbcm4235wc1n3xx.callcost150ppmmobilesvary.,smishing
"Aldrine, rakhesh ex RTM here.pls call.urgent.",ham
You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99,smishing
do you want a new video handset? 750 any time any network mins? unlimited text? camcorder? reply or yell now 08000930705 for del model embody,smishing
"ATM BLOCK:Dear customer, Due to our system upgrade your ATM card has just been BL0CKED. To Re-Activate call customer care for help 6299257179 now.",smishing
i reckon sex with uk guys.,smishing
Just got up.,ham
"you have won ?2,000 cash or a ?5,000 prize! to claim, call09050000337",smishing
reply date now & join the uks fastest rise mobile dating service.,spam
amass your valentine's weekend to paris inc flight & hotel + £200 prize guaranteed!,smishing
"congrats! 1 year special cinema pass for 2 is yours. call 09061209467 now! c suprman v, matrix3, starwars3, etc all 4 free! bx420-ip4-5we. 150pm. dont miss out!",smishing
I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts,ham
And a  &lt;#&gt;  movie DOESNT inlude the previews.,ham
"fantasy football embody back on your tv. go to sky gamestar on sky active and represent £250k dream team. scoring starts on saturday, so register now!sky opt out to 88088",spam
experience your mobile 10 mths?,spam
And I'm hungry.,ham
Need to know when I should be near campus,ham
"D boy replied ""Boost is d secret of my energy"" n instantly d girl shouted ""our energy"" n Thy lived happily 2gthr drinking boost evrydy.",ham
+449071512431 urgent! this exist the 2nd attempt to touch u!u have advance £1250 call 09071512433 b4 050703 t&csbcm4235wc1n3xx. callcost 150ppm mobilesvary. max£7. 50,smishing
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question call  08452810075,spam
claim ur £350 worth of discount vouchers today!,smishing
2 stop texts call 08712460324(nat rate),spam
"dear v0daf0ne customer,you be a 5,00,000 winner of guaranteed caller prize, this embody our final attempt to touch you! to arrogate call 6299257179 now!",smishing
": Rodds1 is 21/m from Aberdeen, United Kingdom.",spam
save £s with free texts/weekend calls.,spam
Joy's father is John. Then John is the NAME of Joy's father. Mandan,ham
fancy a shag? i do.interested? sextextuk.com txt xxuk suzy to 69876. txts cost 1.50 per msg. tncs on website. x,spam
please bid amanda with regard to renewing or advance your current t-mobile handset free of charge.,spam
For once in your life be fair.,ham
I'm watching lotr w my sis dis aft.,ham
HARD BUT TRUE: How much you show &amp;  express your love to someone....that much it will hurt when they leave you or you get seperated...!鈥┾?,ham
We could just show up and watch when they do..,ham
"urgent! your mobile number let exist awarded with a inr.2,00,000 prize guaranteed. call 6200992462 from land line. claim 3030. valid 12hrs only",smishing
no 1 polyphonic tone 4 ur mob every week!,spam
Ur my Baby and all I want is u!xxxx,ham
HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x,ham
"do you ever find that when you're driving, anyone survive slower than you embody an idiot and everyone driving faster than you embody a maniac?",spam
last chance 2 claim ur £150 worth of discount vouchers-text yes to 85023 now!savamob-member offers mobile t cs 08717898035.,smishing
this is our 2nd attempt to contact you!,smishing
price revising soon for urbtech xaviers fully loaded tallest tower in noida few units exit for more details call 9891205199,spam
5 real matches instantly to your phone.,spam
Is it gonna be ok to get the money.,ham
ur cash-balance embody currently 500 pounds - to maximise ur cash-in now send go to 86688 only 150p/msg.,spam
I've been trying to tell sura that.,ham
So you think i should actually talk to him?,ham
